,variantid,gene_symbol,variant_dsi,variant_dpi,variant_consequence_type,diseaseid,disease_name,disease_class,disease_class_name,disease_type,disease_semantic_type,score,ei,year_initial,year_final,source,disease_id
843,rs493161,None,0.925,0.12,regulatory region variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
844,rs4936275,LOC105369501,1.0,0.04,regulatory region variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
845,rs4941058,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
846,rs4946900,OSTM1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
847,rs4947263,None,1.0,0.04,non coding transcript exon variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
848,rs4971040,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
849,rs4976976,TSNARE1,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
850,rs4977574,CDKN2B-AS1,0.695,0.52,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
851,rs5011432,TMEM106B,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
852,rs502268,SYNE1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
853,rs506546,CSMD2,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2015,2015,ALL,EFO_0003761
854,rs521048,SUDS3,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
855,rs527021,SYNE1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
856,rs528732638,CHST9;AQP4-AS1,0.851,0.12,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
857,rs537160,CFB;CYP21A2,0.882,0.24,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
858,rs548181,STT3A;FEZ1;STT3A-AS1,0.851,0.04,5 prime UTR variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
859,rs55679149,LOC105378841,0.925,0.04,upstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
860,rs55702914,None,0.925,0.08,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
861,rs55734731,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2014,2014,ALL,EFO_0003761
862,rs55748329,BAIAP2,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
863,rs55834529,None,0.882,0.12,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
864,rs55945116,SEC11A,0.882,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
865,rs55965054,C5orf17,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
866,rs56072378,MAD1L1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
867,rs56116032,LOC105375974,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
868,rs56293203,MUC5B,1.0,0.04,missense variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
869,rs56314503,LOC107984536,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
870,rs56366527,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
871,rs56388524,None,0.925,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
872,rs56390503,FAT1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
873,rs56403421,None,1.0,0.04,regulatory region variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
874,rs564483817,LINC01938,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
875,rs568799986,None,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
876,rs56887639,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
877,rs569744,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
878,rs57043326,C6orf99,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
879,rs57344483,None,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
880,rs5743467,DEFB1,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
881,rs57506017,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
882,rs5754682,LARGE1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
883,rs5758265,L3MBTL2;L3MBTL2-AS1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
884,rs57679688,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
885,rs578174,None,1.0,0.04,non coding transcript exon variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
886,rs579464,SYNE1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
887,rs58104186,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
888,rs58598658,KLF12,0.925,0.08,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
889,rs58621819,LTBP3,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
890,rs586533,CNTN5,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
891,rs59283172,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
892,rs59382200,LOC105374054,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
893,rs59711329,ZNF417,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
894,rs598769,TYR;LOC107984363,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
895,rs599550,TCF4,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
896,rs5995992,EP300;MIR1281,1.0,0.04,upstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
897,rs600011,BBX,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
898,rs60157091,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
899,rs6019826,KCNB1;LOC105372649,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
900,rs60393230,LOC107987122,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
901,rs60545357,ATP5MG;LOC100131626,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
902,rs6055685,PLCB1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2015,2015,ALL,EFO_0003761
903,rs6063349,CSE1L,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
904,rs6065333,None,1.0,0.04,upstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
905,rs6066975,STAU1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
906,rs6074013,NCOA5,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
907,rs611439,TCF4,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
908,rs6130328,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
909,rs6131010,None,0.925,0.12,upstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
910,rs61475845,CNTN5,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
911,rs61572747,None,1.0,0.04,regulatory region variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
912,rs61687445,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
913,rs61867293,SORCS3,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2019,ALL,EFO_0003761
914,rs61902811,LOC105369501,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
915,rs61990288,LRFN5;LOC105370469,1.0,0.04,upstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
916,rs62001028,BCAR3,1.0,0.04,missense variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
917,rs620339,DCDC1;LOC107984419,1.0,0.04,3 prime UTR variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
918,rs62057061,LINC02210-CRHR1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
919,rs62081501,None,0.925,0.08,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
920,rs62091461,RAB27B,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
921,rs62097899,DCC,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
922,rs62099069,MIR924HG,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
923,rs62100776,DCC,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
924,rs621313,TYR;LOC107984363,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
925,rs62173322,KLHL23,0.882,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
926,rs62183032,ERBB4,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
927,rs62188629,MYOSLID,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
928,rs62195769,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
929,rs62383381,TENM2,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
930,rs62460873,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
931,rs62544433,None,1.0,0.04,upstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
932,rs6424532,LOC105378800,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
933,rs6441175,RSRC1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
934,rs6442260,ATG7,0.925,0.16,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
935,rs6445535,NEK4,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
936,rs645592,TYR;LOC107984363,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
937,rs6466512,LINC01392,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
938,rs6476606,PAX5;LOC105376032,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
939,rs6483414,GRM5,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
940,rs6484218,AMPD3;CAND1.11,0.882,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2010,2010,ALL,EFO_0003761
941,rs6487668,PZP;KLRG1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
942,rs6500030,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2010,2010,ALL,EFO_0003761
943,rs6546604,None,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
944,rs6562505,LOC105370249,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
945,rs6580698,None,1.0,0.04,downstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
946,rs6586354,None,0.851,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2015,2015,ALL,EFO_0003761
947,rs6601853,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
948,rs6601855,LOC105376373,1.0,0.04,upstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
949,rs66511648,LOC107986022,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
950,rs6679379,SGIP1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
951,rs6687024,LOC105378797,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
952,rs6694545,None,0.851,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
953,rs6695867,RERE,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
954,rs66975207,LINC00240,1.0,0.04,non coding transcript exon variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
955,rs6699744,LOC105378797,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
956,rs6715321,None,1.0,0.04,upstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
957,rs67436663,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
958,rs6762813,GNL3;SNORD69,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
959,rs6774721,None,1.0,0.04,upstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
960,rs6778844,PBRM1;SMIM4,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
961,rs6779928,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
962,rs6783233,LOC101926953;LOC107986022,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
963,rs6786043,PBRM1;SMIM4,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
964,rs6786919,PBRM1;SMIM4,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
965,rs6795372,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
966,rs68006638,None,0.925,0.12,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
967,rs6804145,PBRM1,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
968,rs6804663,PLCL2,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
969,rs6818069,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
970,rs6818081,GPM6A;LOC107984113,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
971,rs6882046,LINC00461,1.0,0.04,non coding transcript exon variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
972,rs6889896,LOC101927421;LINC02240,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2015,2015,ALL,EFO_0003761
973,rs6900114,EYS,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
974,rs6919324,OSTM1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
975,rs6921166,OSTM1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
976,rs6954078,PCLO,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2009,2009,ALL,EFO_0003761
977,rs6976,GNL3;GLT8D1,0.851,0.08,3 prime UTR variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
978,rs6990255,None,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
979,rs70018,SYNE1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
